county,Candidate,Votes,Winner
Lee,Trump,12007,Trump
Lee,Biden,4558,Trump
Liberty,Trump,7959,Biden
Liberty,Biden,13104,Biden
Lincoln,Trump,3173,Trump
Lincoln,Biden,1432,Trump
Long,Trump,3527,Trump
Long,Biden,2035,Trump
Lowndes,Trump,25692,Trump
Lowndes,Biden,20116,Trump
Lumpkin,Trump,12163,Trump
Lumpkin,Biden,3126,Trump
Macon,Trump,1783,Biden
Macon,Biden,2858,Biden
Madison,Trump,11326,Trump
Madison,Biden,3411,Trump
Marion,Trump,2275,Trump
Marion,Biden,1312,Trump
McDuffie,Trump,6169,Trump
McDuffie,Biden,4168,Trump
McIntosh,Trump,4016,Trump
McIntosh,Biden,2612,Trump
Meriwether,Trump,6524,Trump
Meriwether,Biden,4287,Trump
Miller,Trump,2066,Trump
Miller,Biden,748,Trump
Mitchell,Trump,4935,Trump
Mitchell,Biden,3993,Trump
Monroe,Trump,11057,Trump
Monroe,Biden,4385,Trump
Montgomery,Trump,2960,Trump
Montgomery,Biden,980,Trump
Morgan,Trump,8231,Trump
Morgan,Biden,3353,Trump
Murray,Trump,12944,Trump
Murray,Biden,2301,Trump
Muscogee,Trump,30107,Biden
Muscogee,Biden,49446,Biden
Newton,Trump,23869,Biden
Newton,Biden,29789,Biden
Oconee,Trump,16595,Trump
Oconee,Biden,8162,Trump
Oglethorpe,Trump,5592,Trump
Oglethorpe,Biden,2439,Trump
Paulding,Trump,54517,Trump
Paulding,Biden,29695,Trump
Peach,Trump,6506,Trump
Peach,Biden,5922,Trump
Pickens,Trump,14110,Trump
Pickens,Biden,2824,Trump
Pierce,Trump,7898,Trump
Pierce,Biden,1100,Trump
Pike,Trump,9127,Trump
Pike,Biden,1505,Trump
Polk,Trump,13587,Trump
Polk,Biden,3657,Trump
Pulaski,Trump,2815,Trump
Pulaski,Biden,1230,Trump
Putnam,Trump,8291,Trump
Putnam,Biden,3448,Trump
Quitman,Trump,604,Trump
Quitman,Biden,497,Trump
Rabun,Trump,7474,Trump
Rabun,Biden,1984,Trump
Randolph,Trump,1390,Trump
Randolph,Biden,1671,Trump
Richmond,Trump,26780,Biden
Richmond,Biden,59119,Biden
Rockdale,Trump,13014,Biden
Rockdale,Biden,31237,Biden
Schley,Trump,1800,Trump
Schley,Biden,462,Trump
Screven,Trump,3915,Trump
Screven,Biden,2661,Trump
Seminole,Trump,2613,Trump
Seminole,Biden,1256,Trump
Spalding,Trump,18104,Trump
Spalding,Biden,11828,Trump
Stephens,Trump,9367,Trump
Stephens,Biden,2386,Trump
Stewart,Trump,801,Trump
Stewart,Biden,1182,Trump
Sumter,Trump,5733,Biden
Sumter,Biden,6314,Biden
Talbot,Trump,1392,Biden
Talbot,Biden,2114,Biden
Taliaferro,Trump,360,Biden
Taliaferro,Biden,561,Biden
Tattnall,Trump,6054,Trump
Tattnall,Biden,2062,Trump
Taylor,Trump,2420,Trump
Taylor,Biden,1388,Trump
Telfair,Trump,2825,Trump
Telfair,Biden,1488,Trump
Terrell,Trump,2004,Biden
Terrell,Biden,2376,Biden
Thomas,Trump,12969,Trump
Thomas,Biden,8708,Trump
Tift,Trump,10784,Trump
Tift,Biden,5318,Trump
Toombs,Trump,7873,Trump
Toombs,Biden,2938,Trump
Towns,Trump,6384,Trump
Towns,Biden,1550,Trump
Treutlen,Trump,2101,Trump
Treutlen,Biden,952,Trump
Troup,Trump,18142,Trump
Troup,Biden,11577,Trump
Turner,Trump,2349,Trump
Turner,Biden,1409,Trump
Twiggs,Trump,2370,Trump
Twiggs,Biden,2044,Trump
Union,Trump,12650,Trump
Union,Biden,2800,Trump
Upson,Trump,8606,Trump
Upson,Biden,4203,Trump
Walker,Trump,23173,Trump
Walker,Biden,5770,Trump
Walton,Trump,37839,Trump
Walton,Biden,12683,Trump
Ware,Trump,9903,Trump
Ware,Biden,4169,Trump
Warren,Trump,1166,Biden
Warren,Biden,1468,Biden
Washington,Trump,4668,Biden
Washington,Biden,4743,Biden
Wayne,Trump,9987,Trump
Wayne,Biden,2688,Trump
Webster,Trump,748,Trump
Webster,Biden,640,Trump
Wheeler,Trump,1583,Trump
Wheeler,Biden,689,Trump
White,Trump,12222,Trump
White,Biden,2411,Trump
Whitfield,Trump,25644,Trump
Whitfield,Biden,10680,Trump
Wilcox,Trump,2402,Trump
Wilcox,Biden,861,Trump
Wilkes,Trump,2823,Trump
Wilkes,Biden,2160,Trump
Wilkinson,Trump,2665,Trump
Wilkinson,Biden,2074,Trump
Worth,Trump,6830,Trump
Worth,Biden,2395,Trump
